timestamp,link,util_bps,capacity_bps,util_pct,congested
13:51:33,s1-s5,8101324,5000000,162.0,1
13:51:33,s5-s3,8102136,5000000,162.0,1
13:51:33,s2-s4,10043628,5000000,200.9,1
13:51:35,s1-s2,12150768,10000000,121.5,1
13:51:35,s2-s3,16169356,10000000,161.7,1
13:51:35,s3-s4,13125168,10000000,131.3,1
13:51:35,s1-s5,8099700,5000000,162.0,1
13:51:35,s5-s3,8098888,5000000,162.0,1
13:51:35,s2-s4,10042816,5000000,200.9,1
13:51:37,s1-s2,12147520,10000000,121.5,1
13:51:37,s2-s3,16167732,10000000,161.7,1
13:51:37,s3-s4,13114612,10000000,131.1,1
13:51:37,s1-s5,8098076,5000000,162.0,1
13:51:37,s5-s3,8101324,5000000,162.0,1
13:51:37,s2-s4,10043628,5000000,200.9,1
13:51:39,s1-s2,12156452,10000000,121.6,1
13:51:39,s2-s3,16149868,10000000,161.5,1
13:51:39,s3-s4,13132476,10000000,131.3,1
13:51:39,s1-s5,8103760,5000000,162.1,1
13:51:39,s5-s3,8101324,5000000,162.0,1
13:51:39,s2-s4,10046064,5000000,200.9,1
13:51:41,s1-s2,12142648,10000000,121.4,1
13:51:41,s2-s3,16068668,10000000,160.7,1
13:51:41,s3-s4,13117048,10000000,131.2,1
13:51:41,s1-s5,8094016,5000000,161.9,1
13:51:41,s5-s3,8103760,5000000,162.1,1
13:51:41,s2-s4,10046064,5000000,200.9,1
13:51:43,s1-s2,12154016,10000000,121.5,1
13:51:43,s2-s3,16059736,10000000,160.6,1
13:51:43,s3-s4,13125980,10000000,131.3,1
13:51:43,s1-s5,8101324,5000000,162.0,1
13:51:43,s5-s3,8102136,5000000,162.0,1
13:51:43,s2-s4,10047688,5000000,201.0,1
13:51:45,s1-s2,12143460,10000000,121.4,1
13:51:45,s2-s3,16110080,10000000,161.1,1
13:51:45,s3-s4,13122732,10000000,131.2,1
13:51:45,s1-s5,8095640,5000000,161.9,1
13:51:45,s5-s3,8104572,5000000,162.1,1
13:51:45,s2-s4,10047688,5000000,201.0,1
13:51:47,s1-s2,12153204,10000000,121.5,1
13:51:47,s2-s3,16150680,10000000,161.5,1
13:51:47,s3-s4,13121920,10000000,131.2,1
13:51:47,s1-s5,8098076,5000000,162.0,1
13:51:47,s5-s3,8102136,5000000,162.0,1
13:51:47,s2-s4,10041192,5000000,200.8,1
13:51:49,s1-s2,12139400,10000000,121.4,1
13:51:49,s2-s3,16181536,10000000,161.8,1
13:51:49,s3-s4,13117048,10000000,131.2,1
13:51:49,s1-s5,8096452,5000000,161.9,1
13:51:49,s5-s3,8100512,5000000,162.0,1
13:51:49,s2-s4,10042816,5000000,200.9,1
13:51:51,s1-s2,12154828,10000000,121.5,1
